tab	measurements
measurement	specimen	experiment	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
D6A-1005a_LP-DIR-AF-1	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	155.1	-18.6 	0	0	0.00	0.00	0	273	This study	hargrave 2026-07-22 19:48:40	LT-NO:LP-DIR-AF	g	0	u	8	273			pmagpy-4.4.0	3.43e-05	2.46e-07	1.24e-07	1.67e-07
D6A-1005a_LP-DIR-AF-2	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	152.3	-19.1 	 1.000e-03	0	0.00	0.00	1	273	This study	hargrave 2026-07-22 19:50:16	LT-AF-Z:LP-DIR-AF	g	1	u	8	273			pmagpy-4.4.0	3.28e-05	2.17e-07	1.02e-07	1.65e-07
D6A-1005a_LP-DIR-AF-3	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	144.6	-23.0 	 2.000e-03	0	0.00	0.00	2	273	This study	hargrave 2026-07-22 19:51:51	LT-AF-Z:LP-DIR-AF	g	2	u	8	273			pmagpy-4.4.0	2.91e-05	1.85e-07	8.28e-08	1.49e-07
D6A-1005a_LP-DIR-AF-4	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	135.0	-27.5 	 3.000e-03	0	0.00	0.00	3	273	This study	hargrave 2026-07-22 19:53:27	LT-AF-Z:LP-DIR-AF	g	3	u	8	273			pmagpy-4.4.0	2.58e-05	1.44e-07	7.52e-08	1.30e-07
D6A-1005a_LP-DIR-AF-5	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	125.6	-31.0 	 4.000e-03	0	0.00	0.00	4	273	This study	hargrave 2026-07-22 19:55:02	LT-AF-Z:LP-DIR-AF	g	4	u	8	273			pmagpy-4.4.0	2.38e-05	1.26e-07	7.77e-08	1.17e-07
D6A-1005a_LP-DIR-AF-6	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	121.0	-32.2 	 5.000e-03	0	0.00	0.00	5	273	This study	hargrave 2026-07-22 19:56:37	LT-AF-Z:LP-DIR-AF	g	5	u	8	273			pmagpy-4.4.0	2.27e-05	1.12e-07	7.85e-08	1.09e-07
D6A-1005a_LP-DIR-AF-7	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	115.2	-33.2 	 7.500e-03	0	0.00	0.00	6	273	This study	hargrave 2026-07-22 19:58:13	LT-AF-Z:LP-DIR-AF	g	6	u	8	273			pmagpy-4.4.0	2.01e-05	9.16e-08	7.79e-08	9.56e-08
D6A-1005a_LP-DIR-AF-8	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	113.5	-33.5 	 1.000e-02	0	0.00	0.00	7	273	This study	hargrave 2026-07-22 19:59:47	LT-AF-Z:LP-DIR-AF	g	7	u	8	273			pmagpy-4.4.0	1.76e-05	7.47e-08	7.35e-08	8.43e-08
D6A-1005a_LP-DIR-AF-9	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	113.2	-33.7 	 1.250e-02	0	0.00	0.00	8	273	This study	hargrave 2026-07-22 20:01:22	LT-AF-Z:LP-DIR-AF	g	8	u	8	273			pmagpy-4.4.0	1.53e-05	6.18e-08	6.63e-08	7.36e-08
D6A-1005a_LP-DIR-AF-10	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	113.0	-34.0 	 1.500e-02	0	0.00	0.00	9	273	This study	hargrave 2026-07-22 20:02:58	LT-AF-Z:LP-DIR-AF	g	9	u	8	273			pmagpy-4.4.0	1.35e-05	5.35e-08	6.03e-08	6.25e-08
D6A-1005a_LP-DIR-AF-11	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	113.4	-34.4 	 1.750e-02	0	0.00	0.00	10	273	This study	hargrave 2026-07-22 20:04:32	LT-AF-Z:LP-DIR-AF	g	10	u	8	273			pmagpy-4.4.0	1.19e-05	4.70e-08	5.63e-08	5.24e-08
D6A-1005a_LP-DIR-AF-12	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	112.8	-34.4 	 2.000e-02	0	0.00	0.00	11	273	This study	hargrave 2026-07-22 20:06:07	LT-AF-Z:LP-DIR-AF	g	11	u	8	273			pmagpy-4.4.0	1.08e-05	4.28e-08	5.21e-08	4.41e-08
D6A-1005a_LP-DIR-AF-13	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	112.4	-34.2 	 2.250e-02	0	0.00	0.00	12	273	This study	hargrave 2026-07-22 20:07:42	LT-AF-Z:LP-DIR-AF	g	12	u	8	273			pmagpy-4.4.0	9.89e-06	3.80e-08	4.76e-08	3.72e-08
D6A-1005a_LP-DIR-AF-14	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	112.4	-34.5 	 2.500e-02	0	0.00	0.00	13	273	This study	hargrave 2026-07-22 20:09:16	LT-AF-Z:LP-DIR-AF	g	13	u	8	273			pmagpy-4.4.0	9.18e-06	3.78e-08	4.50e-08	3.10e-08
D6A-1005a_LP-DIR-AF-15	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	112.2	-34.7 	 2.750e-02	0	0.00	0.00	14	273	This study	hargrave 2026-07-22 20:10:51	LT-AF-Z:LP-DIR-AF	g	14	u	8	273			pmagpy-4.4.0	8.52e-06	3.41e-08	4.34e-08	2.94e-08
